C1 Movement Identifier 1, Count, C1 Movement Identifier 3, Count, C1 Movement Identifier 2, Count, C2 Movement Identifier 1, Count, C2 Movement Identifier 2, Count, C2 Movement Identifier 3, Count, 
Q8929, 5, Q8929, 5, Q8929, 5, , , , , , , 
Q6221, , Q6221, , Q6221, , , , , , , , 
Q6223, , Q6223, , Q6223, , , , , , , , 
E3874, , E3874, , E3874, , , , , , , , 
QL3874, , QL3874, , QL3874, , , , , , , , 
Q2904, 2, Q2904, 2, Q2904, 2, , , , , , , 
R8187, , R8187, , R8187, , , , , , , , 
R8127, , R8127, , R8127, , , , , , , , 
Q4423, 1, Q4423, 1, Q4423, 1, , , , , , , 
Q3423, , Q3423, , Q3423, , , , , , , , 
Q6431, 1, Q6431, 1, Q6431, 1, , , , , , , 
M2868, 1, M2868, 1, M2868, 1, , , , , , , 
NZ2868, , NZ2868, , NZ2868, , , , , , , , 
E7469, 1, E7469, 1, E7469, 1, , , , , , , 
R6804, 2, R6804, 2, R6804, 2, , , , , , , 
E7292, , E7292, , E7292, , , , , , , , 
E7892, , E7892, , E7892, , , , , , , , 
Q7166, , Q7166, , Q7166, , , , , , , , 
Q2166, 1, Q2166, 1, Q2166, 1, , , , , , , 
NZ9724, 2, NZ9724, 2, NZ9724, 2, , , , , , , 
J7308, 1, J7308, 1, J7308, 1, , , , , , , 
J7309, , J7309, , J7309, , , , , , , , 
TUG RED, 2, TUG RED, 2, TUG RED, 2, , , , , , , 
, , NZ2542, 2, NZ2542, 2, , , , , , , 
, , V9286, 3, V9286, 3, , , , , , , 
, , V9486, , V9486, , , , , , , , 
, , Q5696, , Q5696, , , , , , , , 
, , Q5636, , Q5636, , , , , , , , 
, , GC3749, 3, GC3749, 3, , , , , , , 
, , GC8657, , GC8657, , , , , , , , 
, , Q5372, 1, Q5372, 1, , , , , , , 
, , Q8372, , Q8372, , , , , , , , 
, , S9503, 2, S9503, 2, , , , , , , 
, , NZ2542, 1, NZ2542, 1, , , , , , , 
, , Q4136, 2, Q4136, 2, , , , , , , 
, , GC4136, , GC4136, , , , , , , , 
, , GC3697, 3, GC3697, 3, , , , , , , 
, , Q4536, , Q4536, , , , , , , , 
, , S4573, 1, S4573, 1, , , , , , , 
, , S4579, , S4579, , , , , , , , 
, , S9503, 3, S9503, 3, , , , , , , 
, , GC3687, , GC3687, , , , , , , , 
, , , , Q4423, 2, , , , , , , 
, , , , NZ2981, 4, , , , , , , 
, , , , TUG, 1, , , , , , , 
, , , , M2868, 2, , , , , , , 
, , , , Q2868, , , , , , , , 
, , , , Q4423, 1, , , , , , , 
, , , , J7308, , , , , , , , 
, , , , Q7308, , , , , , , , 
, , , , NZ2542, 1, , , , , , , 
, , , , NZ2981, 1, , , , , , , 
, , , , TUG RED, 1, , , , , , , 
, , , , V9286, 1, , , , , , , 
, , , , GC8657, 2, , , , , , , 
, , , , GC3749, 2, , , , , , , 
, , , , S9503, 2, , , , , , , 
, , , , Q4136, 1, , , , , , , 
, , , , Q4139, , , , , , , , 
, , , , C4358, 2, , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
